STARNAME,TWOMASS_NAME,Plate,GSC_Name,TYC_Name,HIP_Name,RA_Final,DEC_Final,GSC_B,GSC_V,TWOMASS_J,TWOMASS_H,TWOMASS_K,SP1,SP2,RPM_LOG_g,Teff,log_g,FeH,GSC_B_E,GSC_V_E,TWOMASS_J_E,TWOMASS_H_E,TWOMASS_K_E,Teff_E,log_g_E,FeH_E,Epoch_0,RA_0,DEC_0,RA_TWOMASS,DEC_TWOMASS,GSC_PM_RA,GSC_PM_DEC,GSC_PM_RA_E,GSC_PM_DEC_E,TYC_B,TYC_B_E,TYC_V,TYC_V_E,HIP_PLX,HIP_PLX_E,HIP_SPTYPE
TYC-3658-01081-1_BEAM2,TWOMASS-J00265411+5436149,APG_120-08,GSC-03658-01081,TYC-3658-01081-1,NO_HIP_ID,6.725895,54.604377,11.449,10.586,9.253,8.943,8.861,G5,G5,MainSeq,5532,4.4,0,0.046,0.032,0.017,0.021,0.011,105,0,0,2011.08,6.725895,54.604377,6.725464,54.604156,78.6,70.5,2,2,11.449,0.046,10.586,0.032,9999,9999,NO_HIP_TYPE!
TYC-3658-01198-1_BEAM1,TWOMASS-J00320423+5559388,APG_120-08,NO_GSC_STAR_ID!,TYC-3658-01198-1,NO_HIP_ID,8.017507,55.994122,9.112,7.668,5.328,4.718,4.546,K0,K0,Giant,4423,2.5,0,0.016,0.01,0.015,0.047,0.009,105,0,0,2011.08,8.017507,55.994122,8.017637,55.994118,-16.7,-9.5,1.4,1.5,9.112,0.016,7.668,0.01,9999,9999,NO_HIP_TYPE!
TYC-3658-01198-1_BEAM2,TWOMASS-J00320423+5559388,APG_120-08,NO_GSC_STAR_ID!,TYC-3658-01198-1,NO_HIP_ID,8.017507,55.994122,9.112,7.668,5.328,4.718,4.546,K0,K0,Giant,4423,2.5,0,0.016,0.01,0.015,0.047,0.009,105,0,0,2011.08,8.017507,55.994122,8.017637,55.994118,-16.7,-9.5,1.4,1.5,9.112,0.016,7.668,0.01,9999,9999,NO_HIP_TYPE!
TYC-3658-01214-1_BEAM1,TWOMASS-J00302972+5536211,APG_120-08,GSC-03658-01214,TYC-3658-01214-1,NO_HIP_ID,7.623513,55.605655,9.904,9.227,7.995,7.742,7.681,G0,G0,MainSeq,5824,4.4,0,0.021,0.015,0.013,0.013,0.019,105,0,0,2011.08,7.623513,55.605655,7.62384,55.605873,-53.4,-61.4,1.2,1.3,9.904,0.021,9.227,0.015,9999,9999,NO_HIP_TYPE!
TYC-3658-01214-1_BEAM2,TWOMASS-J00302972+5536211,APG_120-08,GSC-03658-01214,TYC-3658-01214-1,NO_HIP_ID,7.623513,55.605655,9.904,9.227,7.995,7.742,7.681,G0,G0,MainSeq,5824,4.4,0,0.021,0.015,0.013,0.013,0.019,105,0,0,2011.08,7.623513,55.605655,7.62384,55.605873,-53.4,-61.4,1.2,1.3,9.904,0.021,9.227,0.015,9999,9999,NO_HIP_TYPE!
TYC-3658-01247-1_BEAM1,TWOMASS-J00360761+5456376,APG_120-08,GSC-03658-01247,TYC-3658-01247-1,NO_HIP_ID,9.031947,54.943417,11.629,11.007,9.679,9.329,9.255,G5,G5,MainSeq,5448,4.4,0,0.049,0.047,0.019,0.025,0.02,105,0,0,2011.08,9.031947,54.943417,9.031742,54.943787,34.6,-123,2.1,2,11.629,0.049,11.007,0.047,9999,9999,NO_HIP_TYPE!
TYC-3658-01247-1_BEAM2,TWOMASS-J00360761+5456376,APG_120-08,GSC-03658-01247,TYC-3658-01247-1,NO_HIP_ID,9.031947,54.943417,11.629,11.007,9.679,9.329,9.255,G5,G5,MainSeq,5448,4.4,0,0.049,0.047,0.019,0.025,0.02,105,0,0,2011.08,9.031947,54.943417,9.031742,54.943787,34.6,-123,2.1,2,11.629,0.049,11.007,0.047,9999,9999,NO_HIP_TYPE!
TYC-3658-01259-1_BEAM1,TWOMASS-J00364288+5448595,APG_120-08,GSC-03658-01259,TYC-3658-01259-1,NO_HIP_ID,9.178715,54.816499,11.544,10.772,9.54,9.288,9.213,G2,G2,MainSeq,5785,4.4,0,0.045,0.038,0.018,0.027,0.02,105,0,0,2011.08,9.178715,54.816499,9.1787,54.816544,5.8,-9.4,2,2,11.544,0.045,10.772,0.038,9999,9999,NO_HIP_TYPE!
TYC-3658-01259-1_BEAM2,TWOMASS-J00364288+5448595,APG_120-08,GSC-03658-01259,TYC-3658-01259-1,NO_HIP_ID,9.178715,54.816499,11.544,10.772,9.54,9.288,9.213,G2,G2,MainSeq,5785,4.4,0,0.045,0.038,0.018,0.027,0.02,105,0,0,2011.08,9.178715,54.816499,9.1787,54.816544,5.8,-9.4,2,2,11.544,0.045,10.772,0.038,9999,9999,NO_HIP_TYPE!
TYC-3658-01305-1_BEAM1,TWOMASS-J00355755+5438124,APG_120-08,GSC-03658-01305,TYC-3658-01305-1,NO_HIP_ID,8.989826,54.636826,11.281,10.632,9.343,9.042,8.945,G5,G5,MainSeq,5543,4.4,0,0.039,0.032,0.017,0.026,0.024,105,0,0,2011.08,8.989826,54.636826,8.989818,54.636803,-7.6,11.6,1.7,1.6,11.281,0.039,10.632,0.032,9999,9999,NO_HIP_TYPE!
TYC-3658-01305-1_BEAM2,TWOMASS-J00355755+5438124,APG_120-08,GSC-03658-01305,TYC-3658-01305-1,NO_HIP_ID,8.989826,54.636826,11.281,10.632,9.343,9.042,8.945,G5,G5,MainSeq,5543,4.4,0,0.039,0.032,0.017,0.026,0.024,105,0,0,2011.08,8.989826,54.636826,8.989818,54.636803,-7.6,11.6,1.7,1.6,11.281,0.039,10.632,0.032,9999,9999,NO_HIP_TYPE!
TYC-3658-01468-1_BEAM1,TWOMASS-J00302091+5538020,APG_120-08,GSC-03658-01468,TYC-3658-01468-1,NO_HIP_ID,7.587308,55.633974,11.129,10.535,9.37,9.09,9.026,G2,G2,MainSeq,5780,4.4,0,0.042,0.036,0.018,0.021,0.011,105,0,0,2011.08,7.587308,55.633974,7.587151,55.6339,26.4,23.2,2,2,11.129,0.042,10.535,0.036,9999,9999,NO_HIP_TYPE!
TYC-3658-01468-1_BEAM2,TWOMASS-J00302091+5538020,APG_120-08,GSC-03658-01468,TYC-3658-01468-1,NO_HIP_ID,7.587308,55.633974,11.129,10.535,9.37,9.09,9.026,G2,G2,MainSeq,5780,4.4,0,0.042,0.036,0.018,0.021,0.011,105,0,0,2011.08,7.587308,55.633974,7.587151,55.6339,26.4,23.2,2,2,11.129,0.042,10.535,0.036,9999,9999,NO_HIP_TYPE!
TYC-3658-01481-1_BEAM1,TWOMASS-J00281670+5500401,APG_120-08,GSC-03658-01481,TYC-3658-01481-1,NO_HIP_ID,7.069474,55.011227,10.817,10.194,8.914,8.606,8.54,G2,G2,MainSeq,5616,4.4,0,0.032,0.026,0.017,0.013,0.011,105,0,0,2011.08,7.069474,55.011227,7.069605,55.011154,-24.1,17.4,2.1,2.1,10.817,0.032,10.194,0.026,9999,9999,NO_HIP_TYPE!
